"Stage"	"Item"	"Cost"	"N_kit"	"Cost_N"	"Manufacturer"	"Catalog"	"Link"
"General Use"	"Qubit Assay Tubes"	119	125	0.952	"Invitrogen"	"Q32856"	"https://www.thermofisher.com/order/catalog/product/Q32856"
"General Use"	"PCR 8-Strips"	70.8	480	0.1475	"MTC-Bio"	"P3010-A"	"https://pipette.com/mtc-bio-p3010-a.html?Category_Code=pcr-tubes"
"General Use"	"1000ul Extended Universal Tip, Rack, Sterile, Low Retention, Filter"	56.25	96	0.5859375	"Oxford Lab Products"	"OAR-1000XL-SLF"	"https://pipette.com/oxford-lab-products-oar-1000xl-slf.html"
"General Use"	"200uL Universal Graduated Pipette Tip| Sterile| Low Retention| Filter"	260.8	480	0.543333333333333	"Oxford Lab Products"	"XR-200-SLFC"	"https://pipette.com/oxford-lab-products-pipette-controllers-xr-200-slfc.html"
"General Use"	"10 uL Narrow Universal Graduated Pipette Tip 20 uL Capacity Sterile Low Retention Filter"	57.56	96	0.599583333333333	"Oxford Lab Products"	"XR-10N-SLF"	"https://pipette.com/oxford-lab-products-xr-10n-slf.html"
"General Use"	"Absolute Ethanol, 200 proof, Molecular Biology Grade"	176	1000	0.176	"Thermo Scientific™"	"T038181000"	"https://www.thermofisher.com/order/catalog/product/T038181000"
"General Use"	"DNase/RNase-Free Tubes"	16.4	50	0.328	"Zymo Research"	"C2001-100"	"https://www.zymoresearch.com/collections/tubes/products/dnase-rnase-free-tubes"
"General Use"	"DNA Clean & Concentrator MagBead Kit"	154.9	100	1.549	"Zymo Research"	"D4012"	"https://www.zymoresearch.com/collections/dcc-pcr-purification-kits/products/dna-clean-concentrator-magbead-kit"
"Sample Collection"	"Diamond Midi Centrifuge Tube"	132.3	500	0.2646	"Globe Scientific"	"111580BRS"	"https://www.globescientific.com/5ml-diamondr-miditm-centrifuge-tubes-with-screw-cap.html?psku=111580S&cid=0"
"Sample Collection"	"Cryogenic Vials"	256	500	0.512	"Heathrow Scientific"	"HS23202A"	"https://www.heathrowscientific.com/2-ml-cryogenic-vials-sterile/"
"Sample Collection"	"DNA/RNA Shield"	255.6	85	3.00705882352941	"Zymo Research"	"R1100-250"	"https://www.zymoresearch.com/collections/bulk-reagents/products/dna-rna-shield"
"Sample Collection"	"DNA/RNA Shield Lysis Tubes (Microbe)"	265.2	50	5.304	"Zymo Research"	"R1103"	"https://www.zymoresearch.com/collections/vector-and-environmental-collection/products/dna-rna-shield-lysis-and-collection-tubes"
"Extraction"	"Quick-DNA Fecal/Soil Microbe Miniprep Kit"	264.9	50	5.298	"Zymo Research"	"D6010"	"https://www.zymoresearch.com/collections/quick-dna-fecal-soil-microbe-kits/products/quick-dna-fecal-soil-microbe-dna-miniprep-kit"
"Extraction"	"Quick-DNA HMW MagBead Kit"	320.9	96	3.34270833333333	"Zymo Research"	"D6060"	"https://www.zymoresearch.com/products/quick-dna-hmw-magbead-kit"
"Quality Control"	"SeeGreen™ All-in-One Agarose Tabs™"	42	200	0.21	"miniPCR Bio"	"RG-1500-20"	"https://www.minipcr.com/product/seegreen-agarose-tabs-20-tablets/"
"Library Prep"	"Qubit 1X dsDNA HS Assay Kit"	142	25	5.68	"Invitrogen"	"Q33230"	"https://www.thermofisher.com/order/catalog/product/Q33230"
