"Stage"	"Item"	"Cost"	"N_kit"	"Cost_N"	"Manufacturer"	"Catalog"	"Link"
"Library Prep"	"NEB Blunt/TA Ligase Master Mix"	115	50	2.3	"NEB"	"M0367"	"https://www.neb.com/en-us/products/m0367-blunt-ta-ligase-master-mix"
"Library Prep"	"LongAmp Hot Start Taq 2X Master Mix"	210	100	2.1	"NEB"	"M0533"	"https://www.neb.com/en-us/products/m0533-longamp-hot-start-taq-2x-master-mix"
"Library Prep"	"NEBNext® Companion Module v2"	752	24	31.3333333333333	"NEB"	"E7672S"	"https://www.neb.com/en-us/products/e7672-nebnext-companion-module-oxford-nanopore-technologies-ligation-sequencing"
"Library Prep"	"T7 Endonuclease I"	80	250	0.32	"NEB"	"M0302"	"https://www.neb.com/en-us/products/m0302-t7-endonuclease-i"
"Library Prep"	"Ligation Sequencing Kit"	599	6	99.8333333333333	"ONT"	"SQK-LSK114"	"https://store.nanoporetech.com/us/ligation-sequencing-kit-v14.html"
"Library Prep"	"16S Barcoding Kit 24"	900	144	6.25	"ONT"	"SQK-16S114.24"	"https://store.nanoporetech.com/us/16s-barcoding-kit-24-v14.html"
"Library Prep"	"Rapid Sequencing Kit"	599	6	99.8333333333333	"ONT"	"SQK-RAD114"	"https://store.nanoporetech.com/us/rapid-sequencing-kit-v14.html"
"Library Prep"	"Rapid PCR Barcoding Kit 24"	699	144	4.85416666666667	"ONT"	"SQK-RPB114.24"	"https://store.nanoporetech.com/us/rapid-pcr-barcoding-kit-24-v14.html"
"Library Prep"	"Rapid Barcoding Kit 24"	699	144	4.85416666666667	"ONT"	"SQK-RBK114.24"	"https://store.nanoporetech.com/us/rapid-barcoding-sequencing-kit-24-v14.html"
"Library Prep"	"PCR Barcoding Expansion 1-96"	1700	960	1.77083333333333	"ONT"	"EXP-PBC096"	"https://store.nanoporetech.com/us/pcr-barcoding-expansion-1-96.html"
"Library Prep"	"REPLI-g Single Cell Kit"	840	24	35	"Qiagen"	"150343"	"https://www.qiagen.com/us/products/discovery-and-translational-research/pcr-qpcr-dpcr/preamplification/repli-g/repli-g-single-cell-kit"
"Library Prep"	"REPLI-g Mitochondrial DNA Kit"	360	25	14.4	"Qiagen"	"151023"	"https://www.qiagen.com/us/products/discovery-and-translational-research/pcr-qpcr-dpcr/preamplification/repli-g/repli-g-mitochondrial-dna-kit"
"Library Prep"	"REPLI-g Midi Kit"	886	25	35.44	"Qiagen"	"150043"	"https://www.qiagen.com/us/products/discovery-and-translational-research/pcr-qpcr-dpcr/preamplification/repli-g-kits"
"Sequencing"	"Flongle"	918	288	3.1875	"ONT"	"FLO-FLG114"	"https://store.nanoporetech.com/us/flongle-flow-cell-pack-r10-4-1-2.html"
"Sequencing"	"MinION"	800	96	8.33333333333333	"ONT"	"FLO-MIN114"	"https://store.nanoporetech.com/us/flow-cell-r10-4-1-2025.html"
