SampleID	CollectionDate	Subj_Certainty	Subject	SampleCollectedBy	SampleNotes	ExtractID	ExtractDate	ExtractConc	ExtractedBy	ExtractKit	ExtractBox	ExtractNotes	LibraryCode	LibPrepWorkflow	LibPrepDate	SequenceID	LibraryTube	LibraryBarcode	LibraryConc_QC2	LibraryTotalPoolVol
HDZ-001	2023-11-04	yes	Warble	HDZ Keepers		HDZ-001-E1	2024-07-26	39	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL011	rapid16s	2024-08-21	HDZ-001-S231	1	16S1		NA
HDZ-002	2023-11-01	yes	Warble	HDZ Keepers		HDZ-002-E1	2024-02-12	40	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL005	rapid16s	2024-07-17	HDZ-002-S93	1	16S1	1.9	61
HDZ-004	2023-10-28	yes	Warble	HDZ Keepers	Vaginal closure began	HDZ-004-E1	2023-11-03	55	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-004-S3	3	16S3	8.5	28
HDZ-005	2023-10-27	yes	Warble	HDZ Keepers	Suspected date of conception	HDZ-005-E1	2023-11-03	24	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-005-S11	11	16S11	1.78	28
HDZ-010	2023-10-31	yes	Culi	HDZ Keepers		HDZ-010-E1	2024-01-10	11	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-010-S23	23	16S23	3.91	28
HDZ-011	2023-10-29	yes	Culi	HDZ Keepers		HDZ-011-E1	2023-11-10	45	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-011-S10	10	16S10	6.3	28
HDZ-013	2023-10-26	yes	Culi	HDZ Keepers		HDZ-013-E1	2023-11-10	42	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-013-S8	8	16S8	2.13	28
HDZ-014	2023-10-27	yes	Culi	HDZ Keepers		HDZ-014-E1	2023-11-10	22	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-014-S18	18	16S18	1.89	28
HDZ-015	2023-10-30	yes	Warble	HDZ Keepers		HDZ-015-E1	2023-11-15	7.1	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL002	rapid16s	2024-06-10	HDZ-015-S28	5	16S5	1.73	40
HDZ-016	2023-11-01	yes	Culi	HDZ Keepers		HDZ-016-E1	2024-01-17	22	SA/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-016-S21	21	16S21	2.83	28
