SampleID	CollectionDate	Subj_Certainty	Subject	SampleCollectedBy	SampleNotes	ExtractID	ExtractDate	ExtractConc	ExtractedBy	ExtractKit	ExtractBox	ExtractNotes	LibraryCode	LibPrepWorkflow	LibPrepDate	SequenceID	LibraryTube	LibraryBarcode	LibraryConc_QC2	LibraryTotalPoolVol
HDZ-018	2023-10-30	yes	Culi	HDZ Keepers		HDZ-018-E1	2023-11-15	9.3	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL002	rapid16s	2024-06-10	HDZ-018-S30	7	16S7	6	40
HDZ-019	2023-10-29	yes	Warble	HDZ Keepers	Complete vaginal closure	HDZ-019-E1	2023-11-15	22	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-019-S13	13	16S13	2.67	28
HDZ-020	2023-11-04	yes	Culi	HDZ Keepers		HDZ-020-E1	2024-01-10	15	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-020-S12	12	16S12	2.27	28
HDZ-021	2023-10-28	yes	Culi	HDZ Keepers		HDZ-021-E1	2024-01-10	19	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-021-S7	7	16S7	2.93	28
HDZ-022	2023-11-03	yes	Culi	HDZ Keepers		HDZ-022-E1	2024-01-10	11	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL002	rapid16s	2024-06-10	HDZ-022-S31	8	16S8	5.7	40
HDZ-023	2023-11-03	yes	Warble	HDZ Keepers		HDZ-023-E1	2024-01-17	29	SA/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-023-S20	20	16S20	5.6	28
HDZ-024	2023-11-02	yes	Culi	HDZ Keepers		HDZ-024-E1	2024-01-17	23	SA/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-024-S19	19	16S19	8.7	28
HDZ-025	2023-10-31	yes	Warble	HDZ Keepers		HDZ-025-E1	2024-01-10	24	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-025-S17	17	16S17	2.39	28
HDZ-026	2023-11-02	yes	Culi	HDZ Keepers		HDZ-026-E1	2024-01-17	28	SA/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-026-S15	15	16S15	3.05	28
HDZ-027	2023-11-05	yes	Warble	HDZ Keepers		HDZ-027-E1	2024-01-10	11	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL002	rapid16s	2024-06-10	HDZ-027-S32	9	16S9	3.99	40
HDZ-028	2023-11-05	yes	Culi	HDZ Keepers		HDZ-028-E1	2024-01-10	20	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-028-S16	16	16S16	7	28
HDZ-028	2023-11-05	yes	Culi	HDZ Keepers		HDZ-028-E1	2024-01-10	20	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL002	rapid16s	2024-06-10	HDZ-028-S36	13	16S13	5.3	40
HDZ-029	2023-11-02	no	Unknown	HDZ Keepers		HDZ-029-E1	2024-01-10	12	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-029-S14	14	16S14	3.69	28
HDZ-030	2023-11-06	yes	Warble	HDZ Keepers		HDZ-030-E1	2024-01-17	21	SA/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-030-S6	6	16S6	6.6	28
HDZ-030	2023-11-06	yes	Warble	HDZ Keepers		HDZ-030-E1	2024-01-17	21	SA/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL002	rapid16s	2024-06-10	HDZ-030-S37	14	16S14	3.83	40
HDZ-032	2023-11-11	yes	Culi	HDZ Keepers		HDZ-032-E1	2024-02-12	93	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL002	rapid16s	2024-06-10	HDZ-032-S46	24	16S24	2.89	40
HDZ-033	2023-11-11	yes	Warble	HDZ Keepers		HDZ-033-E1	2024-02-12	86	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL002	rapid16s	2024-06-10	HDZ-033-S43	21	16S21	1.48	40
HDZ-034	2023-11-12	yes	Warble	HDZ Keepers		HDZ-034-E1	2024-02-12	89	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL002	rapid16s	2024-06-10	HDZ-034-S44	22	16S22	0.776	40
HDZ-035	2023-11-06	yes	Culi	HDZ Keepers		HDZ-035-E1	2024-02-12	94	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL009	rapid16s	2024-08-16	HDZ-035-S185	1	16S1		NA
HDZ-036	2023-11-09	yes	Warble	HDZ Keepers		HDZ-036-E1	2024-04-08	29	WJ/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL005	rapid16s	2024-07-17	HDZ-036-S94	2	16S2	1	61
HDZ-037	2023-11-10	yes	Culi	HDZ Keepers		HDZ-037-E1	2024-02-12	94	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL009	rapid16s	2024-08-16	HDZ-037-S186	2	16S2		NA
HDZ-038	2023-11-12	yes	Culi	HDZ Keepers		HDZ-038-E1	2024-01-06	90	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL002	rapid16s	2024-06-10	HDZ-038-S45	23	16S23	0.672	40
HDZ-039	2023-11-14	yes	Culi	HDZ Keepers		HDZ-039-E1	2024-01-24	11	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL002	rapid16s	2024-06-10	HDZ-039-S33	10	16S10	7	40
HDZ-040	2023-11-09	yes	Culi	HDZ Keepers		HDZ-040-E1	2024-02-12	83	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL009	rapid16s	2024-08-16	HDZ-040-S187	3	16S3		NA
HDZ-041	2023-11-13	yes	Warble	HDZ Keepers		HDZ-041-E1	2024-02-12	15	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL003	rapid16s	2024-06-12	HDZ-041-S53	7	16S7	1.43	55
HDZ-042	2023-11-13	yes	Culi	HDZ Keepers		HDZ-042-E1	2024-02-12	67	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL009	rapid16s	2024-08-16	HDZ-042-S188	4	16S4		NA
HDZ-044	2023-11-19	no	Warble	HDZ Keepers		HDZ-044-E1	2024-02-12	97	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL009	rapid16s	2024-08-16	HDZ-044-S189	5	16S5		NA
HDZ-045	2023-11-07	yes	Warble	HDZ Keepers		HDZ-045-E1	2024-04-08	7.2	WJ/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-045-S49	3	16S3	1.47	55
HDZ-046	2023-11-14	yes	Culi	HDZ Keepers		HDZ-046-E1	2024-01-06	6.3	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL003	rapid16s	2024-06-12	HDZ-046-S48	2	16S2	0.701	55
HDZ-047	2023-11-15	yes	Culi	HDZ Keepers		HDZ-047-E1	2024-02-12	94	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL009	rapid16s	2024-08-16	HDZ-047-S190	6	16S6		NA
HDZ-049	2023-11-18	no	Warble	HDZ Keepers		HDZ-049-E1	2024-02-12	52	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL016	rapid16s	2024-09-20	HDZ-049-E1-S346	1	16S1		NA
HDZ-050	2023-11-08	yes	Warble	HDZ Keepers		HDZ-050-E1	2024-02-12	56	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL011	rapid16s	2024-08-21	HDZ-050-S232	2	16S2		NA
HDZ-051	2023-11-14	yes	Warble	HDZ Keepers		HDZ-051-E1	2024-01-06	17	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL003	rapid16s	2024-06-12	HDZ-051-S54	8	16S8	5.4	55
HDZ-052	2023-11-13	yes	Warble	HDZ Keepers		HDZ-052-E1	2024-04-08	7.5	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-052-S50	4	16S4	2.19	55
HDZ-053	2023-11-18	yes	Culi	HDZ Keepers		HDZ-053-E1	2024-02-12	104	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL009	rapid16s	2024-08-16	HDZ-053-S191	7	16S7		NA
HDZ-054	2023-11-19	yes	Culi	HDZ Keepers		HDZ-054-E1	2024-02-12	66	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL009	rapid16s	2024-08-16	HDZ-054-S192	8	16S8		NA
HDZ-055	NA	no	Unknown	HDZ Keepers	No date or name on tube, gathered from zoo on 12/13 (AMR)	HDZ-055-E1	2024-02-25	49	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-055-S22	22	16S22	2.77	28
HDZ-057	2023-11-26	yes	Culi	HDZ Keepers		HDZ-057-E1	2024-01-24	77	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL011	rapid16s	2024-08-21	HDZ-057-S233	3	16S3		NA
HDZ-058	2023-11-21	yes	Culi	HDZ Keepers		HDZ-058-E1	2024-02-12	25	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL003	rapid16s	2024-06-12	HDZ-058-S63	17	16S17	3.9	55
HDZ-060	2023-12-15	yes	Culi	HDZ Keepers		HDZ-060-E1	2024-04-08	35	WJ/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-060-S80	11	16S11	4.24	40
HDZ-063	2023-11-24	yes	Culi	HDZ Keepers		HDZ-063-E1	2024-02-25	66	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-063-S1	1	16S1	4.08	28
HDZ-064	2023-11-23	yes	Culi	HDZ Keepers		HDZ-064-E1	2024-02-25	90	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-064-S2	2	16S2	2.91	28
HDZ-065	2023-12-03	yes	Culi	HDZ Keepers		HDZ-065-E1	2024-02-25	27	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-065-S4	4	16S4	3.39	28
HDZ-066	2023-11-30	yes	Culi	HDZ Keepers		HDZ-066-E1	2024-02-25	63	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-066-S5	5	16S5	4.11	28
HDZ-067	2023-11-27	no	Warble	HDZ Keepers		HDZ-067-E1	2024-02-25	62	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL001	rapid16s	2024-05-16	HDZ-067-S9	9	16S9	2.97	28
HDZ-068	2023-11-24	yes	Warble	HDZ Keepers		HDZ-068-E1	2024-02-29	4.8	WJ, MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	Not sure if these samples were extracted twice, but Missy extracted them on 2/29/24	PL002	rapid16s	2024-06-10	HDZ-068-S26	3	16S3	4.73	40
HDZ-069	2023-11-22	yes	Culi	HDZ Keepers		HDZ-069-E1	2024-01-24	69	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL009	rapid16s	2024-08-16	HDZ-069-S193	9	16S9		NA
HDZ-070	2023-12-02	yes	Warble	HDZ Keepers		HDZ-070-E1	2024-02-29	7.5	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL002	rapid16s	2024-06-10	HDZ-070-S29	6	16S6	4.55	40
HDZ-071	2023-12-02	yes	Culi	HDZ Keepers		HDZ-071-E1	2024-01-24	35	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL004	rapid16s	2024-06-13	HDZ-071-S79	10	16S10	1.19	40
HDZ-072	2023-11-29	yes	Warble	HDZ Keepers		HDZ-072-E1	2024-02-29	11	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL002	rapid16s	2024-06-10	HDZ-072-S34	11	16S11	5.3	40
HDZ-073	2023-11-26	yes	Warble	HDZ Keepers		HDZ-073-E1	2024-02-25	59	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL009	rapid16s	2024-08-16	HDZ-073-S194	10	16S10		NA
HDZ-076	2023-12-01	yes	Culi	HDZ Keepers		HDZ-076-E1	2024-02-29	1.4	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL002	rapid16s	2024-06-10	HDZ-076-S24	1	16S1	5.4	40
HDZ-077	2023-11-27	no	Culi	HDZ Keepers		HDZ-077-E1	2024-02-29	28	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL002	rapid16s	2024-06-10	HDZ-077-S38	16	16S16	0.854	40
HDZ-078	2023-11-23	yes	Culi	HDZ Keepers		HDZ-078-E1	2024-02-29	5.6	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL002	rapid16s	2024-06-10	HDZ-078-S27	4	16S4	5.8	40
HDZ-079	2023-11-22	yes	Warble	HDZ Keepers		HDZ-079-E1	2024-02-29	1.5	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL002	rapid16s	2024-06-10	HDZ-079-S25	2	16S2	4.18	40
HDZ-081	2023-12-31	yes	Culi	HDZ Keepers		HDZ-081-E1	2024-03-06	65	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL002	rapid16s	2024-06-10	HDZ-081-S40	18	16S18	0.52	40
HDZ-082	2023-12-29	yes	Warble	HDZ Keepers		HDZ-082-E1	2024-03-06	79	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL002	rapid16s	2024-06-10	HDZ-082-S41	19	16S19	0.912	40
HDZ-083	2023-12-26	yes	Warble	HDZ Keepers		HDZ-083-E1	2024-03-06	56	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL002	rapid16s	2024-06-10	HDZ-083-S39	17	16S17	0.597	40
HDZ-084	2023-12-21	yes	Culi	HDZ Keepers		HDZ-084-E1	2024-03-06	11	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL002	rapid16s	2024-06-10	HDZ-084-S35	12	16S12	4.81	40
HDZ-085	2024-01-01	yes	Culi	HDZ Keepers		HDZ-085-E1	2024-03-06	94	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-085-S92	23	16S23	4.31	40
HDZ-086	2023-12-30	yes	Culi	HDZ Keepers		HDZ-086-E1	2024-03-06	83	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL002	rapid16s	2024-06-10	HDZ-086-S42	20	16S20	1.56	40
HDZ-087	2023-12-29	yes	Culi	HDZ Keepers		HDZ-087-E1	2024-04-03	34	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-087-S78	9	16S9	4.23	40
HDZ-088	2023-12-26	yes	Culi	HDZ Keepers		HDZ-088-E1	2024-04-03	46	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL011	rapid16s	2024-08-21	HDZ-088-S234	4	16S4		NA
HDZ-089	2023-12-24	yes	Culi	HDZ Keepers		HDZ-089-E1	2024-04-03	25	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL003	rapid16s	2024-06-12	HDZ-089-S64	18	16S18	6.9	55
HDZ-090	2023-12-30	yes	Warble	HDZ Keepers	Almost no stabilizer in the tube	HDZ-090-E1	2024-04-03	56	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL011	rapid16s	2024-08-21	HDZ-090-S235	5	16S5		NA
HDZ-091	2023-12-28	yes	Culi	HDZ Keepers		HDZ-091-E1	2024-04-03	52	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL011	rapid16s	2024-08-21	HDZ-091-S236	6	16S6		NA
HDZ-092	2023-12-25	yes	Warble	HDZ Keepers		HDZ-092-E1	2024-04-03	44	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL011	rapid16s	2024-08-21	HDZ-092-S237	7	16S7		NA
HDZ-093	2023-12-23	yes	Warble	HDZ Keepers		HDZ-093-E1	2024-04-03	25	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		PL003	rapid16s	2024-06-12	HDZ-093-S65	19	16S19	1.69	55
HDZ-094	2023-11-20	yes	Culi	HDZ Keepers		HDZ-094-E1	2024-04-04	25	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-094-S66	20	16S20	1.46	55
HDZ-095	2023-10-26	yes	Warble	HDZ Keepers		HDZ-095-E1	2024-08-26	27	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		PL014	rapid16s	2024-09-06	HDZ-095-S300	1	16S1		NA
HDZ-096	2023-12-27	yes	Warble	HDZ Keepers		HDZ-096-E1	2024-04-04	41	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL005	rapid16s	2024-07-17	HDZ-096-S95	3	16S3	2.19	61
HDZ-097	2023-12-25	yes	Culi	HDZ Keepers		HDZ-097-E1	2024-04-04	83	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-097-S91	22	16S22	6.3	40
HDZ-098	2023-12-22	yes	Culi	HDZ Keepers		HDZ-098-E1	2024-04-04	47	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL011	rapid16s	2024-08-21	HDZ-098-S238	8	16S8		NA
HDZ-099	2023-12-21	yes	Warble	HDZ Keepers		HDZ-099-E1	2024-04-04	32	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-099-S72	3	16S3	4.72	40
HDZ-101	2023-12-24	yes	Warble	HDZ Keepers	Very little stabilizer in the tube	HDZ-101-E1	2024-04-04	20	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-101-S57	11	16S11	0.878	55
HDZ-102	2023-12-23	no	Culi	HDZ Keepers		HDZ-102-E1	2024-04-04	32	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL005	rapid16s	2024-07-17	HDZ-102-S96	4	16S4	1.21	61
HDZ-103	2023-12-22	yes	Warble	HDZ Keepers		HDZ-103-E1	2024-04-04	46	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL011	rapid16s	2024-08-21	HDZ-103-S239	9	16S9		NA
HDZ-104	2023-11-20	yes	Warble	HDZ Keepers		HDZ-104-E1	2024-04-08	26	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-104-S69	23	16S23	2.51	55
HDZ-105	2023-12-28	yes	Warble	HDZ Keepers		HDZ-105-E1	2024-04-08	39	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL005	rapid16s	2024-07-17	HDZ-105-S97	5	16S5	0.826	61
HDZ-106	2024-01-01	yes	Warble	HDZ Keepers		HDZ-106-E1	2024-04-08	40	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-106-S83	14	16S14	4.82	40
HDZ-107	2024-01-02	yes	Warble	HDZ Keepers		HDZ-107-E1	2024-04-08	17	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-107-S55	9	16S9	5.2	55
HDZ-108	2023-12-27	yes	Culi	HDZ Keepers		HDZ-108-E1	2024-04-08	21	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-108-S60	14	16S14	3.88	55
HDZ-109	2023-12-31	yes	Warble	HDZ Keepers		HDZ-109-E1	2024-04-08	43	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL011	rapid16s	2024-08-21	HDZ-109-S240	10	16S10		NA
HDZ-155	2023-12-15	yes	Warble	HDZ Keepers		HDZ-155-E1	2024-04-09	25	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-155-S67	21	16S21	1.71	55
HDZ-156	2023-12-15	yes	Culi	HDZ Keepers		HDZ-156-E1	2024-04-09	25	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-156-S68	22	16S22	2.31	55
HDZ-157	2023-12-14	yes	Warble	HDZ Keepers		HDZ-157-E1	2024-04-09	57	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL011	rapid16s	2024-08-21	HDZ-157-S241	11	16S11		NA
HDZ-158	2024-07-16	no	Warble	HDZ Keepers		HDZ-158-E1	2024-08-27	39	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		PL014	rapid16s	2024-09-06	HDZ-158-S301	2	16S2		NA
HDZ-159	2024-07-02	yes	Warble	HDZ Keepers		HDZ-159-E1	2024-08-27	22	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		PL014	rapid16s	2024-09-06	HDZ-159-S302	3	16S3		NA
HDZ-160	2024-06-10	yes	Warble	HDZ Keepers		HDZ-160-E1	2024-07-26	45	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL011	rapid16s	2024-08-21	HDZ-160-S242	12	16S12		NA
HDZ-161	2023-12-16	yes	Warble	HDZ Keepers		HDZ-161-E1	2024-04-09	34	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-161-S77	8	16S8	2.17	40
HDZ-162	2023-12-17	yes	Warble	HDZ Keepers		HDZ-162-E1	2024-04-09	41	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL011	rapid16s	2024-08-21	HDZ-162-S243	13	16S13		NA
HDZ-163	2023-12-19	yes	Culi	HDZ Keepers		HDZ-163-E1	2024-04-09	40	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-163-S82	13	16S13	3.7	40
HDZ-164	2024-06-13	yes	Warble	HDZ Keepers		HDZ-164-E1	2024-07-26	18	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL009	rapid16s	2024-08-16	HDZ-164-S195	11	16S11		NA
HDZ-165	2024-05-14	yes	Warble	HDZ Keepers		HDZ-165-E1	2024-07-26	22	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL009	rapid16s	2024-08-16	HDZ-165-S196	12	16S12		NA
