"FY"	"Category"	"Project"	"Purpose"	"Supply"	"Price"	"N"	"N_units"	"N_per_prep"	"Cost"	"Manuf"	"Cat"	"Name"	"Link"
25	"Consumables"	"Bat EcoHealth"	"Sample Collection"	"DNA Stabilizer"	255.6	0.117647058823529	85	1	30.07	"Zymo Research"	"R1100-250"	"DNA/RNA Shield"	"https://www.zymoresearch.com/collections/bulk-reagents/products/dna-rna-shield"
25	"Consumables"	"Bat EcoHealth"	"Sample Collection"	"Small Sample Collection Tubes"	256	0.02	500	1	5.12	"Heathrow Scientific"	"HS23202A"	"2mL Sterile Cryogenic Vials"	"https://www.heathrowscientific.com/2-ml-cryogenic-vials-sterile/"
25	"Consumables"	"Bat EcoHealth"	"DNA Extraction"	"Fecal/Soil Kit"	264.9	0.2	50	1	52.98	"Zymo Research"	"D6010"	"Quick-DNA Fecal/Soil Microbe Miniprep"	"https://www.zymoresearch.com/collections/quick-dna-fecal-soil-microbe-kits/products/quick-dna-fecal-sshield"
25	"Consumables"	"Bat EcoHealth"	"DNA Extraction"	"Microfuge Tubes"	16.4	0.0333333333333333	100	3	0.55	"Zymo Research"	"C2001-100"	"1.5mL DNase-free Microfuge Tubes"	"https://www.zymoresearch.com/collections/tubes/products/dnase-rnase-free-tubes"
25	"Consumables"	"Bat EcoHealth"	"Quality Control"	"Qubit Assay Kit"	142	0.1	100	1	14.2	"Invitrogen"	"Q33230"	"Qubit 1X dsDNA HS Assay Kit"	"https://www.thermofisher.com/order/catalog/product/Q33230"
25	"Consumables"	"Bat EcoHealth"	"Quality Control"	"Qubit Assay Tubes"	119	0.02	500	1	2.38	"Invitrogen"	"Q32856"	"500 μL thin-walled polypropylene tubes"	"https://www.thermofisher.com/order/catalog/product/Q32856"
25	"Consumables"	"Bat EcoHealth"	"Library Prep"	"16S Barcoding Kit 24"	900	0.0694444444444444	6	24	62.5	"ONT"	"SQK-16S114.24"	"16S Barcoding Kit 24"	"https://store.nanoporetech.com/us/16s-barcoding-kit-24-v14.html"
25	"Consumables"	"Bat EcoHealth"	"Library Prep"	"Microfuge Tubes"	16.4	0.0333333333333333	100	3	0.55	"Zymo Research"	"C2001-100"	"1.5mL DNase-free Microfuge Tubes"	"https://www.zymoresearch.com/collections/tubes/products/dnase-rnase-free-tubes"
25	"Consumables"	"Bat EcoHealth"	"Library Prep"	"PCR Tubes"	70.8	0.00347222222222222	960	3	0.25	"MTC-Bio"	"P3010-A"	"8-strip PCR Tubes with caps attached"	"https://pipette.com/mtc-bio-p3010-a.html?Category_Code=pcr-tubes"
25	"Consumables"	"Bat EcoHealth"	"Library Prep"	"Taq Master Mix"	210	0.1	100	1	21	"NEB"	"M0533"	"LongAmp Hot Start Taq 2X Master Mix"	"https://www.neb.com/en-us/products/m0533-longamp-hot-start-taq-2x-master-mix"
25	"Consumables"	"Bat EcoHealth"	"DNA Sequencing"	"Flow Cells"	800	0.104166666666667	4	24	83.33	"ONT"	"FLO-MIN114"	"MinION Flow Cells"	"https://store.nanoporetech.com/us/flow-cell-r10-4-1-2025.html"
25	"Consumables"	"Bat EcoHealth"	"DNA Sequencing"	"Microfuge Tubes"	16.4	0.0333333333333333	100	3	0.55	"Zymo Research"	"C2001-100"	"1.5mL DNase-free Microfuge Tubes"	"https://www.zymoresearch.com/collections/tubes/products/dnase-rnase-free-tubes"
25	"Consumables"	"eDNA Endangered Bats"	"Sample Collection"	"Lysis Collection Tube"	265.2	0.2	50	1	53.04	"Zymo Research"	"R1103"	"DNA/RNA Shield Lysis Tubes (Microbe)"	"https://www.zymoresearch.com/collections/vector-and-environmental-collection/products/dna-rna-shield-lysis-and-collection-tubes"
25	"Consumables"	"eDNA Endangered Bats"	"DNA Extraction"	"Fecal/Soil Kit"	264.9	0.2	50	1	52.98	"Zymo Research"	"D6010"	"Quick-DNA Fecal/Soil Microbe Miniprep"	"https://www.zymoresearch.com/collections/quick-dna-fecal-soil-microbe-kits/products/quick-dna-fecal-sshield"
