"Stage"	"Category"	"Item"	"Price"	"Manufacturer"	"Catalog"	"Link"
"MultiStep"	"Cases and Racks"	"Duraporter High Capacity Sample Transport Tote"	218	"Heathrow Scientific"	"120927"	"https://www.heathrowscientific.com/duraporter-xl-high-capacity-sample-transport-tote/"
"MultiStep"	"Cases and Racks"	"Duraporter Sample Transport Box"	106	"Heathrow Scientific"	"120052"	"https://www.heathrowscientific.com/duraporter-sample-transport-box/"
"MultiStep"	"Cases and Racks"	"Duraporter XL Tube Rack Inserts"	62	"Heathrow Scientific"	"120961"	"https://www.heathrowscientific.com/duraporter-xl-tube-rack-inserts/"
"MultiStep"	"Heating and Cooling"	"Lab Cryogenic Freezer, -86°C"	1998	"Bonxrdun"	NA	"https://www.amazon.com/Bonxrdun-Temperature-Refrigerator-Countertop-Refrigerators/dp/B0D4TTD79P?ref_=ast_sto_dp&th=1"
"MultiStep"	"Heating and Cooling"	"12-Place Mini Benchtop Coolers (-20)"	137	"Heathrow Scientific"	"120073"	"https://www.heathrowscientific.com/12-place-mini-benchtop-coolers/"
"MultiStep"	"Heating and Cooling"	"12-Place Mini Benchtop Coolers (0)"	137	"Heathrow Scientific"	"120070"	"https://www.heathrowscientific.com/12-place-mini-benchtop-coolers/"
"MultiStep"	"Heating and Cooling"	"32-Place Mini Benchtop Coolers (-20)"	282	"Heathrow Scientific"	"120075"	"https://www.heathrowscientific.com/32-place-mini-benchtop-coolers/"
"MultiStep"	"Heating and Cooling"	"32-Place Mini Benchtop Coolers (0)"	282	"Heathrow Scientific"	"120072"	"https://www.heathrowscientific.com/32-place-mini-benchtop-coolers/"
"MultiStep"	"Heating and Cooling"	"96-Place Mini Benchtop Cooler (-20)"	293	"Heathrow Scientific"	"120076"	"https://www.heathrowscientific.com/96-place-mini-benchtop-coolers/"
"MultiStep"	"Heating and Cooling"	"-20°C Portable Lab Sample Freezer and Refrigerator"	399	"IVYX Scientific"	NA	"https://ivyxscientific.com/collections/freezers/products/minus20freezer"
"MultiStep"	"Heating and Cooling"	"-86°C Portable Deep Freezer"	2249	"IVYX Scientific"	"DW86W25"	"https://ivyxscientific.com/collections/freezers/products/80cfreezer"
"MultiStep"	"Heating and Cooling"	"5L Laboratory Incubator 0°C to +55°C"	150	"IVYX Scientific"	NA	"https://ivyxscientific.com/collections/incubators/products/5l-lab-incubator"
"MultiStep"	"Micro Centrifuges"	"MC-12 Microcentrifuge"	1715.69	"Benchmark Scientific"	"C1612"	"https://www.benchmarkscientific.com/product/c1612/"
"MultiStep"	"Micro Centrifuges"	"MC-24™ Touch High Speed Microcentrifuge with COMBI-Rotor"	2693.23	"Benchmark Scientific"	"C2417"	"https://www.benchmarkscientific.com/product/c2417/"
"MultiStep"	"Micro Centrifuges"	"MyFuge™12 Mini Centrifuge"	462.04	"Benchmark Scientific"	"C1012"	"https://www.benchmarkscientific.com/product/c1012/"
