"Stage"	"Category"	"Item"	"Price"	"Manufacturer"	"Catalog"	"Link"
"MultiStep"	"Micro Centrifuges"	"Gusto® High-Speed Mini Centrifuge"	1031	"Heathrow Scientific"	"HS10050"	"https://www.heathrowscientific.com/gusto-high-speed-mini-centrifuge/"
"MultiStep"	"Micro Centrifuges"	"Multi-Function High-Speed Centrifuge Bundle - Magfuge® MFC"	1139	"Heathrow Scientific"	"120581"	"https://www.heathrowscientific.com/magfuge-multi-functional-centrifuge/"
"MultiStep"	"Micro Centrifuges"	"Portable Centrifuge Kit"	359	"Heathrow Scientific"	"120568"	"https://www.heathrowscientific.com/portable-centrifuge-kit/"
"MultiStep"	"Micro Centrifuges"	"Gyro™ Microcentrifuge, fixed speed"	169	"miniPCR"	"QP-1800-01"	"https://www.minipcr.com/product/gyro-microcentrifuge-fixed-speed/"
"MultiStep"	"Micro Centrifuges"	"Gyro™ Plus Microcentrifuge, variable speed"	220	"miniPCR"	"QP-1800-02"	"https://www.minipcr.com/product/gyro-microcentrifuge-variable-speed/"
"MultiStep"	"Power Stations"	"AC300+B300K+BLUETTI Charger 1"	1599	"Bluetti"	NA	"https://www.bluettipower.com/products/ac300-b300k"
"MultiStep"	"Power Stations"	"DELTA Pro Portable Power Station"	2199	"EcoFlow"	NA	"https://us.ecoflow.com/products/delta-pro-portable-power-station"
"MultiStep"	"Vortex Mixers"	"BenchMixer™ MP Vortex Mixer"	499	"Benchmark Scientific"	"BV1007"	"https://www.benchmarkscientific.com/product/bv1007/"
"MultiStep"	"Vortex Mixers"	"Mortexer™ Vortex Mixer"	341.7	"Benchmark Scientific"	"BV1005"	"https://www.benchmarkscientific.com/product/bv1005/"
"MultiStep"	"Vortex Mixers"	"Vornado™ Mini Vortex Mixer Series"	229.09	"Benchmark Scientific"	"BV101-P"	"https://www.benchmarkscientific.com/product/bv101-group/"
"Extraction"	"Homogenizing and Mixing"	"BeadBlaster 24 Microtube Homogenizer"	9460.6	"Benchmark Scientific"	"D2400"	"https://www.benchmarkscientific.com/product/d2400/"
"Extraction"	"Homogenizing and Mixing"	"BeadBug™3 Microtube homogenizer"	998	"Benchmark Scientific"	"D1030"	"https://www.benchmarkscientific.com/product/d1030/"
"Extraction"	"Homogenizing and Mixing"	"BeadBug™6 Microtube homogenizer"	2736.67	"Benchmark Scientific"	"D1036"	"https://www.benchmarkscientific.com/product/d1036/"
"LibraryPrep"	"Mixing and Rotating"	"Tube Revolver, Fixed Speed: 18rpm"	213.5	"Crystal Technology"	"TR-01A"	"https://pipette.com/labnet-revolver-adjustable-lab-tube-rotator.html"
"LibraryPrep"	"Mixing and Rotating"	"Labnet Revolver Adjustable Lab Tube Rotator"	339.56	"Labnet"	"H5600"	"https://pipette.com/labnet-revolver-adjustable-lab-tube-rotator.html"
"LibraryPrep"	"Quality Control Systems"	"F1001 Smart-Q 100 Quantitative Fluorometer"	3760.58	"Accuris"	"F1001"	"https://new.marshallscientific.com/Accuris-F1001-Smart-Q-100-Quantitative-Fluorometer-p/f1001.html"
"LibraryPrep"	"Quality Control Systems"	"Promega Quantus™ Fluorometer"	3650	"Promega"	"E6150"	"https://www.fishersci.com/us/en/browse/90207111/fluorometers-and-fluorescence-polarization-systems"
"LibraryPrep"	"Quality Control Systems"	"GELATO™ electrophoresis and visualization system"	890	"miniPCR"	"QP-1600-01"	"https://www.minipcr.com/product/gelato-electrophoresis-transilluminator/"
"LibraryPrep"	"Quality Control Systems"	"blueGel™ electrophoresis with built-in transilluminator"	309	"miniPCR"	"QP-1500-01"	"https://www.minipcr.com/product/bluegel-electrophoresis-with-built-in-illuminator/"
"LibraryPrep"	"Thermal Cyclers and Incubators"	"mini16X thermal cycler"	895	"miniPCR"	"QP-1016-16"	"https://www.minipcr.com/product/minipcr-mini16x-thermal-cycler/"
"LibraryPrep"	"Thermal Cyclers and Incubators"	"mini8 thermal cycler – Factory Refurbished"	399	"miniPCR"	"QP-1000-01"	"https://www.minipcr.com/product/minipcr-mini8-thermal-cycler/"
"LibraryPrep"	"Thermal Cyclers and Incubators"	"mini8X thermal cycler"	695	"miniPCR"	"QP-1000-08"	"https://www.minipcr.com/product/minipcr-mini8x-thermal-cycler/"
"Sequencing"	"Flowcell Adapters"	"Flongle Starter Pack"	1995	"ONT"	"FLGIntSP"	"https://store.nanoporetech.com/us/flongle-intro-pack-2.html"
"Sequencing"	"Sequencers"	"MinION Mk1D Device Only"	2999	"ONT"	"MIN-101D"	"https://store.nanoporetech.com/us/minion.html"
"Sequencing"	"Sequencers"	"MinION Mk1D Starter Pack"	4950	"ONT"	"MIN-101D"	"https://store.nanoporetech.com/us/minion.html"
